Wall time,Step,Value
1677516072.240143,2076672,-5.926871299743652
1677516075.0228493,2080768,-5.836271286010742
1677516076.2967634,2082816,-5.766125202178955
1677516077.551931,2084864,-5.705681324005127
1677516084.7530339,2095104,-5.560530185699463
1677516090.266103,2103296,-5.4752197265625
1677516093.075185,2107392,-5.44104528427124
1677516094.3566372,2109440,-5.417205810546875
1677516102.7731652,2121728,-5.3340044021606445
1677516104.094229,2123776,-5.327957630157471
1677516105.6424673,2125824,-5.314029216766357
1677516106.9171407,2127872,-5.305139064788818
1677516108.1912766,2129920,-5.306760787963867
1677516113.7432883,2138112,-5.276248931884766
1677516117.8195572,2144256,-5.24635124206543
1677516126.1935651,2156544,-5.1996917724609375
1677516127.4681532,2158592,-5.197331428527832
1677516131.5823693,2164736,-5.202817916870117
1677516134.4275103,2168832,-5.285576343536377
1677516135.9613638,2170880,-5.330465316772461
1677516137.2461112,2172928,-5.355401515960693
1677516140.0795197,2177024,-5.347292423248291
1677516144.1281314,2183168,-5.289127349853516
1677516146.9199321,2187264,-5.261196613311768
1677516149.7566414,2191360,-5.242048263549805
1677516151.0085638,2193408,-5.234018802642822
1677516152.5435538,2195456,-5.226796627044678
1677516153.8299134,2197504,-5.2201361656188965
1677516155.1401598,2199552,-5.21379280090332
1677516156.7125058,2201600,-5.209718704223633
1677516160.868622,2207744,-5.209779739379883
1677516162.161873,2209792,-5.212039470672607
1677516164.9736938,2213888,-5.203827381134033
1677516166.5376668,2215936,-5.2023606300354
1677516167.8349242,2217984,-5.194984436035156
1677516171.9238932,2224128,-5.187170505523682
1677516173.465842,2226176,-5.18572998046875
1677516174.7611394,2228224,-5.183784008026123
1677516180.3725524,2236416,-5.210139274597168
1677516190.1700847,2250752,-5.211771011352539
1677516192.691316,2254848,-5.2152509689331055
1677516195.4937537,2258944,-5.341178894042969
1677516197.0118763,2260992,-5.520474433898926
1677516198.259711,2263040,-5.69270658493042
1677516202.4030077,2269184,-5.972787380218506
1677516205.2156599,2273280,-5.734341144561768
1677516208.0054336,2277376,-5.497305393218994
1677516209.2973258,2279424,-5.4432220458984375
1677516212.094895,2283520,-5.384742259979248
1677516218.971598,2293760,-5.759789943695068
1677516221.8663611,2297856,-6.224040985107422
1677516223.160831,2299904,-6.436254978179932
1677516227.5095377,2306048,-6.392246723175049
1677516228.7824016,2308096,-6.340546607971191
1677516231.61152,2312192,-6.2931084632873535
1677516232.8928847,2314240,-6.225619316101074
1677516235.6815205,2318336,-6.459287643432617
1677516237.2100897,2320384,-6.507053852081299
1677516239.7608187,2324480,-6.516641616821289
1677516241.3112931,2326528,-6.464378833770752
1677516242.5959263,2328576,-6.200048446655273
1677516246.7449389,2334720,-5.881216526031494
1677516251.18003,2340864,-5.687896251678467
1677516255.2193,2347008,-5.6065287590026855
1677516256.553182,2349056,-5.574674129486084
1677516259.372294,2353152,-5.463808059692383
1677516262.1909125,2357248,-5.4145636558532715
1677516263.4797087,2359296,-5.397830963134766
1677516264.9918184,2361344,-5.385776996612549
1677516266.259446,2363392,-5.379063129425049
1677516275.9286633,2377728,-5.383217811584473
1677516278.7456682,2381824,-5.378514289855957
1677516281.6414783,2385920,-5.33058500289917
1677516285.7980607,2392064,-5.327655792236328
1677516293.9542077,2404352,-5.383237361907959
